MGnify_accession	Genome	Species_rep	Lineage	Domain	Phylum	Class	Order	Family	Genus	Species
MGYG-HGUT-03150	GUT_GENOME208170	GUT_GENOME208170	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Peptoniphilaceae	g__Peptoniphilus_A	s__
MGYG-HGUT-03151	GUT_GENOME208213	GUT_GENOME208213	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__
MGYG-HGUT-03152	GUT_GENOME208504	GUT_GENOME208504	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella denticola	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella denticola
MGYG-HGUT-03153	GUT_GENOME208505	GUT_GENOME208505	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__RUG420;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__RUG420	s__
MGYG-HGUT-03154	GUT_GENOME208530	GUT_GENOME208530	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__CAG-312;g__;s__	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__CAG-312	g__	s__
MGYG-HGUT-03155	GUT_GENOME208565	GUT_GENOME208565	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-495;s__	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__RF32	f__CAG-239	g__CAG-495	s__
MGYG-HGUT-03156	GUT_GENOME208589	GUT_GENOME208589	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Eubacterium_R	s__
MGYG-HGUT-03157	GUT_GENOME208855	GUT_GENOME208855	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-03158	GUT_GENOME208942	GUT_GENOME208942	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp000437495	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-485	s__CAG-485 sp000437495
MGYG-HGUT-03159	GUT_GENOME208943	GUT_GENOME208943	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-03160	GUT_GENOME208951	GUT_GENOME208951	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__	s__
MGYG-HGUT-03161	GUT_GENOME209092	GUT_GENOME209092	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Eubacterium_R	s__
MGYG-HGUT-03162	GUT_GENOME209306	GUT_GENOME209306	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_D	s__
MGYG-HGUT-03163	GUT_GENOME209325	GUT_GENOME209325	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_A;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides_A	s__
MGYG-HGUT-03164	GUT_GENOME209360	GUT_GENOME209360	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp002361235	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-485	s__CAG-485 sp002361235
MGYG-HGUT-03165	GUT_GENOME209482	GUT_GENOME209482	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Coprococcus	s__
MGYG-HGUT-03166	GUT_GENOME209802	GUT_GENOME209802	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__
MGYG-HGUT-03167	GUT_GENOME209822	GUT_GENOME209822	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-03168	GUT_GENOME210004	GUT_GENOME210004	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-03169	GUT_GENOME210017	GUT_GENOME210017	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-917;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__4C28d-15	f__CAG-917	g__	s__
MGYG-HGUT-03170	GUT_GENOME210225	GUT_GENOME210225	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Sutterella	s__
MGYG-HGUT-03171	GUT_GENOME210309	GUT_GENOME210309	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-180	s__
MGYG-HGUT-03172	GUT_GENOME210386	GUT_GENOME210386	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-485	s__
MGYG-HGUT-03173	GUT_GENOME210502	GUT_GENOME210502	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_F	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__Collinsella aerofaciens_F
MGYG-HGUT-03174	GUT_GENOME210610	GUT_GENOME210610	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-03175	GUT_GENOME210626	GUT_GENOME210626	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-03176	GUT_GENOME210691	GUT_GENOME210691	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__	s__
MGYG-HGUT-03177	GUT_GENOME210710	GUT_GENOME210710	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__K10;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__K10	s__
MGYG-HGUT-03178	GUT_GENOME211264	GUT_GENOME211264	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella quasivariicola	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella quasivariicola
MGYG-HGUT-03179	GUT_GENOME211596	GUT_GENOME211596	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-727;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__4C28d-15	f__CAG-727	g__	s__
MGYG-HGUT-03180	GUT_GENOME211688	GUT_GENOME211688	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-03181	GUT_GENOME211769	GUT_GENOME211769	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-03182	GUT_GENOME211787	GUT_GENOME211787	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__4C28d-15	f__	g__	s__
MGYG-HGUT-03183	GUT_GENOME211792	GUT_GENOME211792	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-03184	GUT_GENOME211901	GUT_GENOME211901	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea_B;s__Pantoea_B calida	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Pantoea_B	s__Pantoea_B calida
MGYG-HGUT-03185	GUT_GENOME212224	GUT_GENOME212224	d__Bacteria;p__Firmicutes_B;c__Peptococcia;o__Peptococcales;f__Peptococcaceae;g__Peptococcus;s__Peptococcus niger	d__Bacteria	p__Firmicutes_B	c__Peptococcia	o__Peptococcales	f__Peptococcaceae	g__Peptococcus	s__Peptococcus niger
MGYG-HGUT-03186	GUT_GENOME212248	GUT_GENOME212248	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Gleimia;s__Gleimia europaea_A	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Gleimia	s__Gleimia europaea_A
MGYG-HGUT-03187	GUT_GENOME212260	GUT_GENOME212260	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Leclercia;s__Leclercia adecarboxylata_C	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Leclercia	s__Leclercia adecarboxylata_C
MGYG-HGUT-03188	GUT_GENOME212278	GUT_GENOME212278	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella	s__Veillonella dispar
MGYG-HGUT-03189	GUT_GENOME212287	GUT_GENOME212287	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D parainfluenzae_M	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Haemophilus_D	s__Haemophilus_D parainfluenzae_M
MGYG-HGUT-03190	GUT_GENOME212317	GUT_GENOME212317	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella rogosae	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella	s__Veillonella rogosae
MGYG-HGUT-03191	GUT_GENOME212497	GUT_GENOME212497	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-03192	GUT_GENOME212645	GUT_GENOME212645	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA5416;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA5416	s__
MGYG-HGUT-03193	GUT_GENOME212654	GUT_GENOME212654	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__CAG-831;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__CAG-831	s__
MGYG-HGUT-03194	GUT_GENOME212738	GUT_GENOME212738	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Paramuribaculum	s__
MGYG-HGUT-03195	GUT_GENOME212871	GUT_GENOME212871	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Helcococcaceae;g__Anaerococcus;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Helcococcaceae	g__Anaerococcus	s__
MGYG-HGUT-03196	GUT_GENOME212873	GUT_GENOME212873	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__
MGYG-HGUT-03197	GUT_GENOME212929	GUT_GENOME212929	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__F0422;s__	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__F0422	s__
MGYG-HGUT-03198	GUT_GENOME212961	GUT_GENOME212961	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Paramuribaculum	s__
MGYG-HGUT-03199	GUT_GENOME212964	GUT_GENOME212964	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Duncaniella	s__
MGYG-HGUT-03200	GUT_GENOME212972	GUT_GENOME212972	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-873	s__
MGYG-HGUT-03201	GUT_GENOME212983	GUT_GENOME212983	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-873	s__
MGYG-HGUT-03202	GUT_GENOME212984	GUT_GENOME212984	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA3263;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__UBA3263	s__
MGYG-HGUT-03203	GUT_GENOME213063	GUT_GENOME213063	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Marinifilaceae	g__Butyricimonas	s__
MGYG-HGUT-03204	GUT_GENOME213124	GUT_GENOME213124	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__	s__
MGYG-HGUT-03205	GUT_GENOME213244	GUT_GENOME213244	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__CAG-312;g__CAG-312;s__	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__CAG-312	g__CAG-312	s__
MGYG-HGUT-03206	GUT_GENOME213260	GUT_GENOME213260	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-03207	GUT_GENOME213359	GUT_GENOME213359	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__UBA1206;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__CAG-382	g__UBA1206	s__
MGYG-HGUT-03208	GUT_GENOME213384	GUT_GENOME213384	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E extremaustralis	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E extremaustralis
MGYG-HGUT-03209	GUT_GENOME213415	GUT_GENOME213415	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-03210	GUT_GENOME213427	GUT_GENOME213427	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__	s__
MGYG-HGUT-03211	GUT_GENOME213434	GUT_GENOME213434	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__	s__
MGYG-HGUT-03212	GUT_GENOME213450	GUT_GENOME213450	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__4C28d-15	f__	g__	s__
MGYG-HGUT-03213	GUT_GENOME213516	GUT_GENOME213516	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-03214	GUT_GENOME213666	GUT_GENOME213666	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__	g__	s__
MGYG-HGUT-03215	GUT_GENOME214037	GUT_GENOME214037	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__	s__
MGYG-HGUT-03216	GUT_GENOME214069	GUT_GENOME214069	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-552;g__UBA10677;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__4C28d-15	f__CAG-552	g__UBA10677	s__
MGYG-HGUT-03217	GUT_GENOME214106	GUT_GENOME214106	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-267;s__CAG-267 sp001917135	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__RF32	f__CAG-239	g__CAG-267	s__CAG-267 sp001917135
MGYG-HGUT-03218	GUT_GENOME214510	GUT_GENOME214510	d__Bacteria;p__Firmicutes_B;c__Dehalobacteriia;o__UBA4068;f__UBA4068;g__;s__	d__Bacteria	p__Firmicutes_B	c__Dehalobacteriia	o__UBA4068	f__UBA4068	g__	s__
MGYG-HGUT-03219	GUT_GENOME214656	GUT_GENOME214656	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__	s__
MGYG-HGUT-03220	GUT_GENOME214864	GUT_GENOME214864	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__UBA644_A;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__UBA644_A	g__	s__
MGYG-HGUT-03221	GUT_GENOME214946	GUT_GENOME214946	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__	s__
MGYG-HGUT-03222	GUT_GENOME215006	GUT_GENOME215006	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-582;s__	d__Bacteria	p__Firmicutes	c__Bacilli	o__RF39	f__CAG-1000	g__CAG-582	s__
MGYG-HGUT-03223	GUT_GENOME215104	GUT_GENOME215104	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-485	s__
MGYG-HGUT-03224	GUT_GENOME215193	GUT_GENOME215193	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__	s__
MGYG-HGUT-03225	GUT_GENOME215200	GUT_GENOME215200	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-03226	GUT_GENOME215224	GUT_GENOME215224	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-727;g__QALS01;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__4C28d-15	f__CAG-727	g__QALS01	s__
MGYG-HGUT-03227	GUT_GENOME215504	GUT_GENOME215504	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Christensenellales	f__Christensenellaceae	g__	s__
MGYG-HGUT-03228	GUT_GENOME215548	GUT_GENOME215548	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-03229	GUT_GENOME215615	GUT_GENOME215615	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-03230	GUT_GENOME215793	GUT_GENOME215793	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__CAG-313;g__CAG-313;s__	d__Bacteria	p__Firmicutes	c__Bacilli	o__ML615J-28	f__CAG-313	g__CAG-313	s__
MGYG-HGUT-03231	GUT_GENOME215855	GUT_GENOME215855	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-03232	GUT_GENOME215875	GUT_GENOME215875	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pseudoflavonifractor;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Pseudoflavonifractor	s__
MGYG-HGUT-03233	GUT_GENOME215893	GUT_GENOME215893	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__C941;s__C941 sp900321725	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__C941	s__C941 sp900321725
MGYG-HGUT-03234	GUT_GENOME215898	GUT_GENOME215898	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-03235	GUT_GENOME215936	GUT_GENOME215936	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-727;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__4C28d-15	f__CAG-727	g__	s__
MGYG-HGUT-03236	GUT_GENOME216297	GUT_GENOME216297	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__	s__
MGYG-HGUT-03237	GUT_GENOME216302	GUT_GENOME216302	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallis;s__Victivallis sp002998355	d__Bacteria	p__Verrucomicrobiota	c__Lentisphaeria	o__Victivallales	f__Victivallaceae	g__Victivallis	s__Victivallis sp002998355
